API 10/UWI,OFS Region,State/Province,County/Parish,District,Land/Offshore,Contractor Name,Rig Name/Number,Draw Works,Rated HP,Power Type,Mobility,Operator Name,Lease Name,Well Number,Spud Date,Rig Latitude (WGS84),Rig Longitude (WGS84),Permit Number,Permit Approval Date,Permit Posted Date,Permit Depth,Permit Type,Well Type,Drill Type,Field,Formation,Formation Depth,Section,Township,Range,Block,Survey,Abstract,H2S Area,Contractor Contact,Contractor phone,Contractor Email,Contractor Address,Contractor City,Contractor State,Contractor Zip,Contractor Website,Operator Contact,Operator Phone,Operator Address,Operator City,Operator State,Operator Zip,Temporary Location,Directions to Location,Rig ID
0403063759,WEST COAST,California,KERN (CA),,land,"Ensign Energy Services, Inc.",Ensign 549,Ensign ADR 200,900,AC,Skid,CHEVRON U.S.A. INC.,SAN JOAQUIN,1201,6/1/2018,35.4283547,-118.9988422,TEMP1409526099,4/14/2018,,,NewDrill,OIL & GAS,V,KERN RIVER,NOT REPORTED,0,5,29S,28.0E,,,,,Mike Pierce,800-886-3898,mike.pierce@ensignenergy.com,"1700 Broadway, Ste 777",Denver,CO,80290,http://www.ensignenergy.com,WILLIAM BRANNON,661-654-7065,PO BOX 1392 ,BAKERSFIELD,CA,93308,N,"1. Head north on Chester Ave toward Truxtun Ave (Distance: 0.5 miles, Est. Time: 0:02:32); 2. Turn right after Jack in the Box (on the right)Continue to follow CA-178 EPass by Sonic Drive-In (on the right) (Distance: 0.3 miles, Est. Time: 0:00:51); 3. Take exit 2B for Union Ave (Distance: 0.5 miles, Est. Time: 0:00:48); 4. Merge onto W Monterey St (Distance: 324.8 feet, Est. Time: 0:00:16); 5. Turn left onto Union AvePass by Burger King (on the left in 0.6 mi) (Distance: 1.1 miles, Est. Time: 0:02:57); 6. Slight left onto Manor St (Distance: 2.1 miles, Est. Time: 0:03:01); 7. Turn right onto China Grade Loop (Distance: 0.5 miles, Est. Time: 0:00:43); 8. Turn left onto Monte Christo Rd (Distance: 0.5 miles, Est. Time: 0:01:19); 9. Merge onto Oilfield Srv Rd (Distance: 292.0 feet, Est. Time: 0:00:29); 10. Turn right (Distance: 0.3 miles, Est. Time: 0:01:05); 11. Turn left (Distance: 0.3 miles, Est. Time: 0:01:18); 12. Turn left (Distance: 541.3 feet, Est. Time: 0:00:25); Total Distance: 6.4 miles, Total Est. Time: 0:15:44; Rig is located 3.7 feet to the SE.",3386
0407720199,WEST COAST,California,SAN JOAQUIN (CA),,land,Paul Graham Drilling & Service Company,Paul Graham 8,SKM 350,350,MECH,,PACIFIC GAS AND ELECTRIC COMPANY,TURNER CUT,2-N,5/24/2018,37.9874531,-121.4737645,TEMP1379665213,4/14/2018,,,Other,STORAGE,V,MCDONALD ISLAND GAS,NO POOL BREAKDOWN,0,30,02N,05.0E,,,,,Clarence Santos,707-374-5123,clarence@paulgrahamdrilling.com,2500 Airport Road,Rio Vista,CA,94571,http://www.paulgrahamdrilling.com,BRAD CARR,925-244-3165,6121 BOLLINGER CANYON RD ,SAN RAMON,CA,94583,N,"1. Head west on E Fremont St toward N El Dorado St (Distance: 498.7 feet, Est. Time: 0:00:37); 2. Turn left at the 2nd cross street onto N Center St (Distance: 0.5 miles, Est. Time: 0:01:48); 3. Turn right onto W Washington St (Distance: 0.3 miles, Est. Time: 0:00:57); 4. Slight right onto the ramp to CA-4 W (Distance: 1099.1 feet, Est. Time: 0:00:28); 5. Merge onto Ort J. Lofthus Fwy (Distance: 1.5 miles, Est. Time: 0:01:39); 6. Turn left onto Navy Dr (Distance: 1318.9 feet, Est. Time: 0:00:35); 7. Turn right onto Tillie Lewis Dr (Distance: 0.4 miles, Est. Time: 0:00:51); 8. Turn right onto CA-4 W/W Charter WayContinue to follow CA-4 W (Distance: 4.3 miles, Est. Time: 0:04:44); 9. Turn right onto S Inland Dr (Distance: 2.2 miles, Est. Time: 0:03:14); 10. Continue straight onto W Mcdonald Rd (Distance: 4.5 miles, Est. Time: 0:07:06); 11. Turn left onto McDonad River Bridge (Distance: 636.5 feet, Est. Time: 0:00:47); 12. Turn right onto Mcdonald Island Rd/Zuckerman Rd (Distance: 0.4 miles, Est. Time: 0:01:03); 13. Continue straight (Distance: 849.7 feet, Est. Time: 0:00:23); 14. Slight left (Distance: 1246.7 feet, Est. Time: 0:00:59); Total Distance: 15.2 miles, Total Est. Time: 0:25:11; Rig is located 908.1 feet to the NE.",3105
,WEST COAST,California,GLENN (CA),,land,Paul Graham Drilling & Service Company,Paul Graham 3,HOPPER GXXTA,400,MECH,,DOC,CLEMENTINO,1,6/1/2018,39.5984497,-122.3921967,,,,,,,,,,,,,,,,,,Clarence Santos,707-374-5123,clarence@paulgrahamdrilling.com,2500 Airport Road,Rio Vista,CA,94571,http://www.paulgrahamdrilling.com,,,,,,,Y,,3096
0411122390,WEST COAST,California,VENTURA (CA),,land,Paul Graham Drilling & Service Company,Paul Graham 5,BDW 800-MI,1000,MECH,,ABA ENERGY CORPORATION,JOSEPH-MAULHARDT,11,5/15/2018,34.1871906,-119.1482327,TEMP576211101,3/6/2018,,,NewDrill,OIL & GAS,V,OXNARD,NOT REPORTED,0,12,01N,22.0W,,,,,Clarence Santos,707-374-5123,clarence@paulgrahamdrilling.com,2500 Airport Road,Rio Vista,CA,94571,http://www.paulgrahamdrilling.com,H. IRANI,916-716-3422,7612 MEANY AVE ,BAKERSFIELD,CA,93308,N,"1. Head east on US-101 BUS toward S Oak St (Distance: 908.8 feet, Est. Time: 0:00:57); 2. Turn right to merge onto US-101 S toward Los Angeles (Distance: 3.4 miles, Est. Time: 0:03:32); 3. Keep left at the fork to stay on US-101 S (Distance: 6.5 miles, Est. Time: 0:05:53); 4. Take exit 60 for Rice Ave/Santa Clara Ave (Distance: 1108.9 feet, Est. Time: 0:00:19); 5. Keep right at the fork and merge onto CA-1 N/N Rice Ave (Distance: 2.3 miles, Est. Time: 0:04:20); 6. Turn right onto E Wooley Rd (Distance: 0.5 miles, Est. Time: 0:00:50); 7. Turn leftRestricted usage road (Distance: 938.3 feet, Est. Time: 0:01:21); Total Distance: 13.2 miles, Total Est. Time: 0:17:12; Rig is located 0.3 miles to the E.",2916
,WEST COAST,California,SAN JOAQUIN (CA),,land,Paul Graham Drilling & Service Company,Paul Graham 6,BDW 800-MI,1000,MECH,,PACIFIC GAS & ELECTRIC CO.,TURNER CUT,1AW,6/2/2018,37.9348297,-121.2714005,,,,,,,,,,,,,,,,,,Clarence Santos,707-374-5123,clarence@paulgrahamdrilling.com,2500 Airport Road,Rio Vista,CA,94571,http://www.paulgrahamdrilling.com,,,,,,,Y,,2917
,WEST COAST,California,IMPERIAL (CA),,land,Paul Graham Drilling & Service Company,Paul Graham 7,COOPER LTO-550,525,MECH,,HUDSON RANCH POWER,HUDSON RANCH,13-3,6/1/2018,33.0396004,-115.365303,,,,,,,,,,,,,,,,,,Clarence Santos,707-374-5123,clarence@paulgrahamdrilling.com,2500 Airport Road,Rio Vista,CA,94571,http://www.paulgrahamdrilling.com,,,,,,,Y,,2918
,WEST COAST,California,KERN (CA),,land,C&J ENERGY SERVICES,C&J 382,Ideco Double 1982,500,,,CHEVRON U.S.A. INC.,SECTION 1 Y,T-007-1,5/23/2018,35.437809,-118.9717026,,,,,,,,,,,,,,,,,,,713-325-6000,,3990 Rogerdale,Houston,TX,77042,https://cjenergy.com/,,,,,,,Y,,5829
,WEST COAST,California,KERN (CA),,land,C&J ENERGY SERVICES,C&J 746,Ideco Double 1982,500,,,CHEVRON U.S.A. INC.,MIDWAY SUNSET,6537,5/25/2018,35.437809,-118.9717026,,,,,,,,,,,,,,,,,,,713-325-6000,,3990 Rogerdale,Houston,TX,77042,https://cjenergy.com/,,,,,,,Y,,5830
0403063119,WEST COAST,California,KERN (CA),,land,"Ensign Energy Services, Inc.",Ensign 150,LeTourneau LDW-750K,1500,AC,Walking,CALIFORNIA RESOURCES ELK HILLS,(N/A),364-J-10H,5/21/2018,35.1603673,-119.2860607,TEMP709495112,10/14/2017,,,NewDrill,OIL,V,ANY FIELD,NO POOL BREAKDOWN,0,10,32.0S,25.0E,,,,,James Odom,800-886-3898,,"1700 Broadway, Ste 777",Denver,CO,80290,http://www.ensignenergy.com,KAYLA KENDIG,661-529-4271,11109 RIVER RUN BLVD ,BAKERSFIELD,CA,93311,N,"1. Head north on Truxtun Ave toward Truxtun Ave (Distance: 2.1 miles, Est. Time: 0:05:19); 2. Take the ramp to Westside Pkwy (Distance: 0.5 miles, Est. Time: 0:00:33); 3. Continue onto Westside Pkwy (Distance: 6.6 miles, Est. Time: 0:05:59); 4. Continue onto Stockdale Hwy (Distance: 4.3 miles, Est. Time: 0:04:56); 5. Turn left onto Enos Ln (Distance: 8.0 miles, Est. Time: 0:09:49); 6. Turn left onto Union Rd (Distance: 1.1 miles, Est. Time: 0:01:31); 7. Continue onto Coles Levee Rd (Distance: 2.0 miles, Est. Time: 0:02:15); 8. Turn right (Distance: 754.6 feet, Est. Time: 0:00:22); 9. Turn left (Distance: 1.0 miles, Est. Time: 0:02:22); 10. Turn right (Distance: 1.0 miles, Est. Time: 0:02:08); 11. Turn left at the 1st cross street (Distance: 1.0 miles, Est. Time: 0:02:23); 12. Turn right (Distance: 1.0 miles, Est. Time: 0:02:39); 13. Turn left (Distance: 1.5 miles, Est. Time: 0:04:11); 14. Turn right (Distance: 0.9 miles, Est. Time: 0:02:57); Total Distance: 31.1 miles, Total Est. Time: 0:47:24; Rig is located 755.8 feet to the N.",229
0403063786,WEST COAST,California,KERN (CA),,land,"Ensign Energy Services, Inc.",Ensign 504,Continental EMSCO GB-160,530,MECH,,"SENTINEL PEAK RESOURCES CALIFORNIA, LLC",MCKITTRICK UNIT,Jan-88,5/29/2018,35.3522694,-119.646821,TEMP569742085,4/18/2018,,,NewDrill,OIL & GAS,V,CYMRIC,NOT REPORTED,0,6,30S,22.0E,,,,,Larry Lorenz,800-886-3898,,"1700 Broadway, Ste 777",Denver,CO,80290,http://www.ensignenergy.com,THOMAS CRUISE,661-395-5204,"1200 DISCOVERY DRIVE, SUITE 500 ",BAKERSFIELD,CA,93309,N,"1. Head north on Truxtun Ave toward Truxtun Ave (Distance: 2.1 miles, Est. Time: 0:05:19); 2. Take the ramp to Westside Pkwy (Distance: 0.5 miles, Est. Time: 0:00:33); 3. Continue onto Westside Pkwy (Distance: 6.6 miles, Est. Time: 0:05:59); 4. Continue onto Stockdale Hwy (Distance: 8.9 miles, Est. Time: 0:10:12); 5. Merge onto I-5 N via the ramp to Sacramento (Distance: 4.8 miles, Est. Time: 0:04:22); 6. Take exit 257 toward CA-58/Buttonwillow/McKitrick (Distance: 1273.0 feet, Est. Time: 0:00:38); 7. Turn right onto Tracy Ave (Distance: 0.3 miles, Est. Time: 0:01:18); 8. Turn right onto CA-58 W (Distance: 8.0 miles, Est. Time: 0:09:32); 9. Turn right onto Lokern Rd (Distance: 7.3 miles, Est. Time: 0:07:54); 10. Turn left onto CA-33 S (Distance: 3.6 miles, Est. Time: 0:03:47); 11. Turn right (Distance: 0.7 miles, Est. Time: 0:02:28); 12. Turn right (Distance: 692.3 feet, Est. Time: 0:00:41); Total Distance: 43.1 miles, Total Est. Time: 0:52:43; Rig is located 1235.0 feet to the E.",249
0403062981,WEST COAST,California,KERN (CA),,land,"Ensign Energy Services, Inc.",Ensign 508,Continental EMSCO GB-160,530,MECH,,"BERRY PETROLEUM COMPANY, LLC",SECTION 31D,2013H,5/26/2018,35.1030215,-119.4434267,TEMP755445653,9/16/2017,,,NewDrill,CYCLIC STEAM,V,MIDWAY-SUNSET,NO POOL BREAKDOWN,0,31,32.0S,24.0E,,,,,Larry Lorenz,800-886-3898,,"1700 Broadway, Ste 777",Denver,CO,80290,http://www.ensignenergy.com,BENNY HATHAWAY,6616163900,5201 TRUXTUN AVE STE 300 ,BAKERSFIELD,CA,93309,N,"1. Head north on Truxtun Ave toward Truxtun Ave (Distance: 2.1 miles, Est. Time: 0:05:19); 2. Take the ramp to Westside Pkwy (Distance: 0.5 miles, Est. Time: 0:00:33); 3. Continue onto Westside Pkwy (Distance: 6.6 miles, Est. Time: 0:05:59); 4. Continue onto Stockdale Hwy (Distance: 4.3 miles, Est. Time: 0:04:56); 5. Turn left onto CA-43 S/Enos Ln (Distance: 6.0 miles, Est. Time: 0:06:52); 6. Turn right onto CA-119 W (Distance: 16.6 miles, Est. Time: 0:18:12); 7. Continue straight onto CA-33 S (Distance: 1.6 miles, Est. Time: 0:01:42); 8. Turn right (Distance: 0.4 miles, Est. Time: 0:01:36); 9. Slight left (Distance: 964.6 feet, Est. Time: 0:00:38); 10. Turn left toward Hovey Hills Rd (Distance: 577.4 feet, Est. Time: 0:00:29); 11. Turn left toward Hovey Hills Rd (Distance: 843.2 feet, Est. Time: 0:00:43); 12. Turn right onto Hovey Hills Rd (Distance: 0.7 miles, Est. Time: 0:02:10); Total Distance: 39.3 miles, Total Est. Time: 0:49:09; Rig is located 741.6 feet to the SE.",252
